age,date,percentN
50-59,19/01/2022,33.27404775
50-59,27/01/2022,35.73190126
50-59,06/02/2022,37.37091818
50-59,13/02/2022,39.31545655
50-59,20/02/2022,41.01115558
50-59,27/02/2022,43.24472384
50-59,06/03/2022,45.29722087
50-59,13/03/2022,47.49893598
50-59,21/03/2022,49.71796724
50-59,27/03/2022,51.6334316
50-59,03/04/2022,53.55459675
50-59,10/04/2022,55.33039183
50-59,18/04/2022,57.04718377
50-59,28/04/2022,59.11998985
50-59,08/05/2022,60.74043849
50-59,15/05/2022,62.28392651
50-59,26/05/2022,63.93677963
50-59,09/06/2022,65.8283907
50-59,20/06/2022,67.20668547
50-59,01/07/2022,69.12807735
50-59,14/07/2022,71.08309092
50-59,28/07/2022,73.9659638
50-59,11/08/2022,75.76913766
50-59,26/08/2022,77.74918593
50-59,10/09/2022,79.15723741
50-59,24/09/2022,79.96220886
50-59,08/10/2022,80.46923276
50-59,23/10/2022,81.08797173
50-59,06/11/2022,82.1367129
50-59,21/11/2022,82.64978371
50-59,03/12/2022,82.75972746
